x,y,elevation
-20,-20,5.0
-20,-19,5.0
-20,-18,5.0
-20,-17,5.0
-20,-16,5.0
-20,-15,5.0
-20,-14,5.0
-20,-13,5.0
-20,-12,5.0
-20,-11,5.0
-20,-10,5.0
-20,-9,5.0
-20,-8,5.0
-20,-7,5.0
-20,-6,5.0
-20,-5,5.0
-20,-4,5.0
-20,-3,5.0
-20,-2,5.0
-20,-1,5.0
-20,0,5.0
-20,1,5.0
-20,2,5.0
-20,3,5.0
-20,4,5.0
-20,5,5.0
-20,6,5.0
-20,7,5.0
-20,8,5.0
-20,9,5.0
-20,10,5.0
-20,11,5.0
-20,12,5.0
-20,13,5.0
-20,14,5.0
-20,15,5.0
-20,16,5.0
-20,17,5.0
-20,18,5.0
-20,19,5.0
-20,20,5.0
-20,21,5.0
-20,22,5.0
-20,23,5.0
-20,24,5.0
-20,25,5.0
-20,26,5.0
-20,27,5.0
-20,28,5.0
-20,29,5.0
-20,30,5.0
-20,31,5.0
-20,32,5.0
-20,33,5.0
-20,34,5.0
-20,35,5.0
-20,36,5.0
-20,37,5.0
-20,38,5.0
-20,39,5.0
-20,40,5.0
-20,41,5.0
-20,42,5.0
-20,43,5.0
-20,44,5.0
-20,45,5.0
-20,46,5.0
-20,47,5.0
-20,48,5.0
-20,49,5.0
-20,50,5.0
-20,51,5.0
-20,52,5.0
-20,53,5.0
-20,54,5.0
-20,55,5.0
-20,56,5.0
-20,57,5.0
-20,58,5.0
-20,59,5.0
-20,60,5.0
-20,61,5.0
-20,62,5.0
-20,63,5.0
-20,64,5.0
-20,65,5.0
-20,66,5.0
-20,67,5.0
-20,68,5.0
-20,69,5.0
-20,70,5.0
-20,71,5.0
-20,72,5.0
-20,73,5.0
-20,74,5.0
-20,75,5.0
-20,76,5.0
-20,77,5.0
-20,78,5.0
-20,79,5.0
-20,80,7.5
-20,81,7.5
-20,82,7.5
-20,83,7.5
-20,84,7.5
-20,85,7.5
-20,86,7.5
-20,87,7.5
-20,88,7.5
-20,89,7.5
-20,90,7.5
-20,91,7.5
-20,92,7.5
-20,93,7.5
-20,94,7.5
-20,95,7.5
-20,96,7.5
-20,97,7.5
-20,98,10.0
-20,99,10.0
-20,100,10.0
-19,-20,5.0
-19,-19,5.0
-19,-18,5.0
-19,-17,5.0
-19,-16,5.0
-19,-15,5.0
-19,-14,5.0
-19,-13,5.0
-19,-12,5.0
-19,-11,5.0
-19,-10,5.0
-19,-9,5.0
-19,-8,5.0
-19,-7,5.0
-19,-6,5.0
-19,-5,5.0
-19,-4,5.0
-19,-3,5.0
-19,-2,5.0
-19,-1,5.0
-19,0,5.0
-19,1,5.0
-19,2,5.0
-19,3,5.0
-19,4,5.0
-19,5,5.0
-19,6,5.0
-19,7,5.0
-19,8,5.0
-19,9,5.0
-19,10,5.0
-19,11,5.0
-19,12,5.0
-19,13,5.0
-19,14,5.0
-19,15,5.0
-19,16,5.0
-19,17,5.0
-19,18,5.0
-19,19,5.0
-19,20,5.0
-19,21,5.0
-19,22,5.0
-19,23,5.0
-19,24,5.0
-19,25,5.0
-19,26,5.0
-19,27,5.0
-19,28,5.0
-19,29,5.0
-19,30,5.0
-19,31,5.0
-19,32,5.0
-19,33,5.0
-19,34,5.0
-19,35,5.0
-19,36,5.0
-19,37,5.0
-19,38,5.0
-19,39,5.0
-19,40,5.0
-19,41,5.0
-19,42,5.0
-19,43,5.0
-19,44,5.0
-19,45,5.0
-19,46,5.0
-19,47,5.0
-19,48,5.0
-19,49,5.0
-19,50,5.0
-19,51,5.0
-19,52,5.0
-19,53,5.0
-19,54,5.0
-19,55,5.0
-19,56,5.0
-19,57,5.0
-19,58,5.0
-19,59,5.0
-19,60,5.0
-19,61,5.0
-19,62,5.0
-19,63,5.0
-19,64,5.0
-19,65,5.0
-19,66,5.0
-19,67,5.0
-19,68,5.0
-19,69,5.0
-19,70,5.0
-19,71,5.0
-19,72,5.0
-19,73,5.0
-19,74,5.0
-19,75,5.0
-19,76,5.0
-19,77,5.0
-19,78,5.0
-19,79,5.0
-19,80,7.5
-19,81,7.5
-19,82,7.5
-19,83,7.5
-19,84,7.5
-19,85,7.5
-19,86,7.5
-19,87,7.5
-19,88,7.5
-19,89,7.5
-19,90,7.5
-19,91,7.5
-19,92,7.5
-19,93,7.5
-19,94,7.5
-19,95,7.5
-19,96,7.5
-19,97,7.5
-19,98,10.0
-19,99,10.0
-19,100,10.0
-18,-20,5.0
-18,-19,5.0
-18,-18,5.0
-18,-17,5.0
-18,-16,5.0
-18,-15,5.0
-18,-14,5.0
-18,-13,5.0
-18,-12,5.0
-18,-11,5.0
-18,-10,5.0
-18,-9,5.0
-18,-8,5.0
-18,-7,5.0
-18,-6,5.0
-18,-5,5.0
-18,-4,5.0
-18,-3,5.0
-18,-2,5.0
-18,-1,5.0
-18,0,5.0
-18,1,5.0
-18,2,5.0
-18,3,5.0
-18,4,5.0
-18,5,5.0
-18,6,5.0
-18,7,5.0
-18,8,5.0
-18,9,5.0
-18,10,5.0
-18,11,5.0
-18,12,5.0
-18,13,5.0
-18,14,5.0
-18,15,5.0
-18,16,5.0
-18,17,5.0
-18,18,5.0
-18,19,5.0
-18,20,5.0
-18,21,5.0
-18,22,5.0
-18,23,5.0
-18,24,5.0
-18,25,5.0
-18,26,5.0
-18,27,5.0
-18,28,5.0
-18,29,5.0
-18,30,5.0
-18,31,5.0
-18,32,5.0
-18,33,5.0
-18,34,5.0
-18,35,5.0
-18,36,5.0
-18,37,5.0
-18,38,5.0
-18,39,5.0
-18,40,5.0
-18,41,5.0
-18,42,5.0
-18,43,5.0
-18,44,5.0
-18,45,5.0
-18,46,5.0
-18,47,5.0
-18,48,5.0
-18,49,5.0
-18,50,5.0
-18,51,5.0
-18,52,5.0
-18,53,5.0
-18,54,5.0
-18,55,5.0
-18,56,5.0
-18,57,5.0
-18,58,5.0
-18,59,5.0
-18,60,5.0
-18,61,5.0
-18,62,5.0
-18,63,5.0
-18,64,5.0
-18,65,5.0
-18,66,5.0
-18,67,5.0
-18,68,5.0
-18,69,5.0
-18,70,5.0
-18,71,5.0
-18,72,5.0
-18,73,5.0
-18,74,5.0
-18,75,5.0
-18,76,5.0
-18,77,5.0
-18,78,5.0
-18,79,5.0
-18,80,7.5
-18,81,7.5
-18,82,7.5
-18,83,7.5
-18,84,7.5
-18,85,7.5
-18,86,7.5
-18,87,7.5
-18,88,7.5
-18,89,7.5
-18,90,7.5
-18,91,7.5
-18,92,7.5
-18,93,7.5
-18,94,7.5
-18,95,7.5
-18,96,7.5
-18,97,7.5
-18,98,10.0
-18,99,10.0
-18,100,10.0
-17,-20,5.0
-17,-19,5.0
-17,-18,5.0
-17,-17,5.0
-17,-16,5.0
-17,-15,5.0
-17,-14,5.0
-17,-13,5.0
-17,-12,5.0
-17,-11,5.0
-17,-10,5.0
-17,-9,5.0
-17,-8,5.0
-17,-7,5.0
-17,-6,5.0
-17,-5,5.0
-17,-4,5.0
-17,-3,5.0
-17,-2,5.0
-17,-1,5.0
-17,0,5.0
-17,1,5.0
-17,2,5.0
-17,3,5.0
-17,4,5.0
-17,5,5.0
-17,6,5.0
-17,7,5.0
-17,8,5.0
-17,9,5.0
-17,10,5.0
-17,11,5.0
-17,12,5.0
-17,13,5.0
-17,14,5.0
-17,15,5.0
-17,16,5.0
-17,17,5.0
-17,18,5.0
-17,19,5.0
-17,20,5.0
-17,21,5.0
-17,22,5.0
-17,23,5.0
-17,24,5.0
-17,25,5.0
-17,26,5.0
-17,27,5.0
-17,28,5.0
-17,29,5.0
-17,30,5.0
-17,31,5.0
-17,32,5.0
-17,33,5.0
-17,34,5.0
-17,35,5.0
-17,36,5.0
-17,37,5.0
-17,38,5.0
-17,39,5.0
-17,40,5.0
-17,41,5.0
-17,42,5.0
-17,43,5.0
-17,44,5.0
-17,45,5.0
-17,46,5.0
-17,47,5.0
-17,48,5.0
-17,49,5.0
-17,50,5.0
-17,51,5.0
-17,52,5.0
-17,53,5.0
-17,54,5.0
-17,55,5.0
-17,56,5.0
-17,57,5.0
-17,58,5.0
-17,59,5.0
-17,60,5.0
-17,61,5.0
-17,62,5.0
-17,63,5.0
-17,64,5.0
-17,65,5.0
-17,66,5.0
-17,67,5.0
-17,68,5.0
-17,69,5.0
-17,70,5.0
-17,71,5.0
-17,72,5.0
-17,73,5.0
-17,74,5.0
-17,75,5.0
-17,76,5.0
-17,77,5.0
-17,78,5.0
-17,79,7.5
-17,80,7.5
-17,81,7.5
-17,82,7.5
-17,83,7.5
-17,84,7.5
-17,85,7.5
-17,86,7.5
-17,87,7.5
-17,88,7.5
-17,89,7.5
-17,90,7.5
-17,91,7.5
-17,92,7.5
-17,93,7.5
-17,94,7.5
-17,95,7.5
-17,96,7.5
-17,97,10.0
-17,98,10.0
-17,99,10.0
-17,100,10.0
-16,-20,5.0
-16,-19,5.0
-16,-18,5.0
-16,-17,5.0
-16,-16,5.0
-16,-15,5.0
-16,-14,5.0
-16,-13,5.0
-16,-12,5.0
-16,-11,5.0
-16,-10,5.0
-16,-9,5.0
-16,-8,5.0
-16,-7,5.0
-16,-6,5.0
-16,-5,5.0
-16,-4,5.0
-16,-3,5.0
-16,-2,5.0
-16,-1,5.0
-16,0,5.0
-16,1,5.0
-16,2,5.0
-16,3,5.0
-16,4,5.0
-16,5,5.0
-16,6,5.0
-16,7,5.0
-16,8,5.0
-16,9,5.0
-16,10,5.0
-16,11,5.0
-16,12,5.0
-16,13,5.0
-16,14,5.0
-16,15,5.0
-16,16,5.0
-16,17,5.0
-16,18,5.0
-16,19,5.0
-16,20,5.0
-16,21,5.0
-16,22,5.0
-16,23,5.0
-16,24,5.0
-16,25,5.0
-16,26,5.0
-16,27,5.0
-16,28,5.0
-16,29,5.0
-16,30,5.0
-16,31,5.0
-16,32,5.0
-16,33,5.0
-16,34,5.0
-16,35,5.0
-16,36,5.0
-16,37,5.0
-16,38,5.0
-16,39,5.0
-16,40,5.0
-16,41,5.0
-16,42,5.0
-16,43,5.0
-16,44,5.0
-16,45,5.0
-16,46,5.0
-16,47,5.0
-16,48,5.0
-16,49,5.0
-16,50,5.0
-16,51,5.0
-16,52,5.0
-16,53,5.0
-16,54,5.0
-16,55,5.0
-16,56,5.0
-16,57,5.0
-16,58,5.0
-16,59,5.0
-16,60,5.0
-16,61,5.0
-16,62,5.0
-16,63,5.0
-16,64,5.0
-16,65,5.0
-16,66,5.0
-16,67,5.0
-16,68,5.0
-16,69,5.0
-16,70,5.0
-16,71,5.0
-16,72,5.0
-16,73,5.0
-16,74,5.0
-16,75,5.0
-16,76,5.0
